Theme name,Number of reviews,Representative keywords,Representative reviews
Outliers / mixed,323,,good app nice | nice service | paisa loot liye mere
upar / ko / bola / buliding,3,"upar, ko, bola, buliding, ak, dubara, khada, tere ko",niche | bad delivery partner disappear order customer support executive shakila help | dekho tumari store ache h lekin ak delivery partner hu aaj mera order ak buliding aaya tha vaha niche khada tha bola gila tha nhi aa skta upar uske bad mene customer ko dubara call lgya aur customer bola tere ko tamij nhi h tere ko ki bat ka paisa milta h aur tu upar aakar dekar aa lekin fir order ko dene jabarjasti gya bola upar aaja ya sam tak vahi khada nhi lunga fir upar gya customer ne mere ko damki di ki dubara buliding se bahar nhi jane dunga
speaker / waste / scammer / waste money,3,"speaker, waste, scammer, waste money, 1200rs, 1200rs opened, blink order, connect cc",scammer | waste | scammer search electroinc product highly un recommend blink order blue tooth speaker worth 1200rs opened box product power try lot method speaker workless send repair speaker twice connect cc tell cant issue dont waste money order electronic product blink waste money waste time worst customer care
aaega tab / aaega / bar manga / del,3,"aaega tab, aaega, bar manga, del, del star, faster del, food star, manga rahe",pahli bar manga rahe hain aaega tab rating denge | fresh food anything give 2 star faster del | 5 star
food product / quality food / food / quality,3,"food product, quality food, food, quality, blinkit invoice, bud miss, bad share, earbud box",experience bad service quality food product last month guy give fake empathy blinkit become pathetic day day | bad experience blinkit receive noise pure bud miss leave earbud box already unsealed delivery executive take otp could check product support response helpful unacceptable expect good quality control accountability | order water melon get bad quality request order food product delivery low quality food product health concern issue one listen bad also share picture blinkit invoice
replacement / product page / provide replacement / birthday,3,"replacement, product page, provide replacement, birthday, page, mention, provide, birthday pack",pathetic service recieved faulty product follow replacement policy mention product page instead say go service center please uninstall app order anything cheater | one stock available show birthday gift order wanted present someone birthday pack box old product break kind service rate seem u people shameless pack broken product | mention 7 day replacement product page order product work provide replacement scamming people even provide video proof ready provide replacement scam service
poor quality / cream contener / contener / contener break,3,"poor quality, cream contener, contener, contener break, responsibility deliver, miss need, need follow, follow irritate",unfair refund policy poor quality compare zepto responsibility deliver product | poor quality ice cream contener break | sometimes poor quality stuff thing r miss need follow irritate
super app / immediate reach / reach super / app immediate,3,"super app, immediate reach, reach super, app immediate, immediate, super, app super, reach",super app immediate reach | super app | super app
item quality / food apps / apps send / online food,3,"item quality, food apps, apps send, online food, vegetable stop, send rough, quality online, rough vegetable",expire food | item quality well online food apps | sometimes send rough vegetable stop
promptly / absolutely urgent / case problem / average use,3,"promptly, absolutely urgent, case problem, average use, extremely fast, fast dispute, fast quality, good average",deliver fast quality always good mostly average use absolutely urgent still u might disappoint | experience highly satisfy display time order deliver within time twice every time quality product also good moreover case problem customer service respond promptly resolution extremely fast | dispute resoluted promptly
91 / 36 charge / 91 rupee / booking,3,"91, 36 charge, 91 rupee, booking, bad buy, buy chocolate, chocolate, chocolate price",always take handling charge bad | buy chocolate price 36 charge 91 rupee bad | bad service charge extra booking
reduce / piz reduce / reduce item / price reduce,3,"reduce, piz reduce, reduce item, price reduce, rotton, piz, mydragon, price item",mydragon fruit rotton | price reduce item | piz reduce price item
quality product / appquick / appquick delivery / amaze quality,3,"quality product, appquick, appquick delivery, amaze quality, delivery amaze, offer great, great best, great appquick",great best quality product | great delivery n quality n offer | great appquick delivery amaze quality product
list / product good / available product / day use,3,"list, product good, available product, day use, ichalkaranji, increase product, list hometown, list variety",fast delivery product good | product good available product fast delivery safe money | delivery fast delivery guy also respectful townbut please increase product list variety still many day day use product miss list hometown ichalkaranji
best blinkit / best way / commerce company / company 30,3,"best blinkit, best way, commerce company, company 30, best commerce, 30 min, way order, order best",best e commerce company get 30 min order product order blinkit | best blinkit order | best way order thing
fraud / fraud company / fraud coupon / coupon fraud,3,"fraud, fraud company, fraud coupon, coupon fraud, coupon, company",fraud | coupon | fraud company
complete satisfaction / essential / satisfaction / grocery item,3,"complete satisfaction, essential, satisfaction, grocery item, recommend blinkit, complete, grocery, daily",recently require several grocery item gift love one download three apps find blinkit useful reliable option thanks extensive product range competitive pricing efficient delivery service place three order within two day fulfill need highly satisfied experience wholeheartedly recommend blinkit premier shop app grocery essential | excellent experience blinkit outstanding service fine exquisite quality absolute perfection delivery service product item daily essential requirement within time almost instantly complete satisfaction guarantee 24 7 blinkit essential daily need type come imagination feel happiness blinkit home sweet home almost time immense pleasure fulfillment complete satisfaction | blinkit huge help whenever need vegetables fruit grocery item urgently blinkit delivers quickly product usually fresh good quality service reliable convenient save lot time effort downside sometimes delivery platform charge become bit high difficult middleclass family overall happy service would recommend blinkit speed c
